payment_id,merchant_id,payment_type,status,created_at,payment_time,amount,currency,channel,payment_method_type,card_number,card_cvv,card_exp_month,card_exp_year,customer_name,customer_email,customer_phone,billing_address,ip_address,device_id,export_batch_id
trx_ansu3gl9dxtbp6bf04,ldg_v1tqwt,transfer_out,successful,2025-06-25T18:08:40.542605Z,2025-06-25T19:00:40.542605Z,2321.68,EUR,api,['bank_transfer'],**** **** **** 1641,966,12,2033,Bailey Bennett,rowan.quincy.252@example.test,+33857668913,"89 Rue de Rivoli, Hamburg",214.52.185.174,dev_m8zm0434sw8f,exp_md5v3ns4bd
trx_ansu3gl9dxtbp6bf04,ldg_v1tqwt,transfer_out,successful,2025-06-25T18:08:40.542605Z,,2321.68,EUR,api,['bank_transfer'],**** **** **** 1641,966,12,2033,Bailey Bennett,rowan.quincy.252@example.test,+33857668913,"89 Rue de Rivoli, Hamburg",214.52.185.174,dev_m8zm0434sw8f,exp_md5v3ns4bd
trx_hod2r8ih3zbvjqeevf,ldg_ohvkc3,transaction_in,pending,2025-05-13T10:05:24.250803Z,2025-05-13T10:55:24.250803Z,529.04,EUR,invoice,card,**** **** **** 4001,366,2,2032,Jordan Perry,quinn.jordan.046@example.test,+39624295212,"118 Unter den Linden, Dublin",122.119.46.212,dev_opapzcmojsup,exp_md5v3ns4bd
trx_kpukdcal39c995ogeg,vnd_gk3v,transaction_in,failed,2026-01-05T17:59:41.443846Z,2026-01-05T19:49:41.443846Z,1043.4,EUR,api,wallet,**** **** **** 2288,334,2,2036,Jordan Foster,emerson.hayden.124@example.test,+353795364640,"22 Baker Street, Dublin",34.236.73.19,dev_oys5efndhgxc,exp_md5v3ns4bd
trx_0np43b4upes0ph0b4d,ldg_7mkswd,transaction_out,pending,2025-07-20T05:18:49.083540Z,2025-07-20T06:26:49.083540Z,1858.93,GBP,pos,wallet,**** **** **** 8798,810,9,2036,Avery Blake,cameron.sutton.649@example.test,+34260193630,"147 Baker Street, Berlin",118.246.33.9,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_go8qn7hacp54y26w3q,vnd_1qwb,transaction_out,successful,2025-05-02T11:18:36.956916Z,2025-05-02T13:08:36.956916Z,1503.55,EUR,api,card,**** **** **** 5865,310,12,2028,Rowan Bennett,rowan.bennett.425@example.test,+44319169194,"3 Via Roma, Berlin",153.183.57.250,dev_4o0xt2xdxsrc,exp_md5v3ns4bd
trx_jxxv6y9bhfjhihsw3e,ldg_ohvkc3,transfer_out,pending,2025-04-18T13:03:09.192647Z,2025-04-18T14:32:09.192647Z,944.23,EUR,api,['bank_transfer'],**** **** **** 1909,413,12,2034,Riley Brooks,parker.ellis.709@example.test,+49626660332,"174 Rue de Rivoli, Lisbon",165.69.49.240,dev_opapzcmojsup,exp_md5v3ns4bd
trx_msxda04tqc7wb3zsyq,ldg_kju8ju,transfer_in,pending,2025-12-15T15:56:33.003690Z,2025-12-15T17:41:33.003690Z,1164.52,USD,link,['bank_transfer'],**** **** **** 5677,142,4,2032,Jordan Harper,mason.shaw.842@example.test,+44237272011,"198 Baker Street, Paris",80.4.215.166,dev_kj7txme63frb,exp_md5v3ns4bd
trx_msxda04tqc7wb3zsyq,ldg_kju8ju,transfer_in,pending,2025-12-15T15:56:33.003690Z,,1164.52,USD,link,['bank_transfer'],**** **** **** 5677,142,4,2032,Jordan Harper,mason.shaw.842@example.test,+44237272011,"198 Baker Street, Paris",80.4.215.166,dev_kj7txme63frb,exp_md5v3ns4bd
trx_9tjx9j6fueta213oun,vnd_1qwb,transfer_in,refunded,2025-09-15T23:32:32.187905Z,2025-09-15T23:38:32.187905Z,827.19,EUR,api,['bank_transfer'],**** **** **** 3650,106,4,2027,Jordan Perry,jordan.hayden.026@example.test,+49547352484,"182 Via Roma, Paris",93.115.248.145,dev_vh4isy18so0z,exp_md5v3ns4bd
